,Count
Dryas.integrifolia,2
Eriophorum.chamissonis,2
Eriophorum.scheuchzeri,2
Eriophorum.vaginatum,2
Eurybia.sibirica,2
Festuca.altaica,2
Hedysarum.hedysaroides.ssp.tschuktschorum,2
Juncus.mertensianus,2
Linnaea.borealis,2
Luzula.nivalis,2
Micranthes.spicata,2
Micranthes.unalaschensis,2
Papaver.hultenii,2
Papaver.keelei,2
Potentilla.cf.,2
Puccinellia.tenella.ssp.tenella,2
Pyrola.grandiflora,2
Rumex.krausei,2
Rumex.pseudoxyria,2
Saxifraga.oppositifolia,2
Taraxacum.lateritium,2
Tephroseris.yukonensis,2
Vaccinium.uliginosum,2
Braya.humilis,1
Campanula.lasiocarpa,1
Cardamine.umbellata,1
Carex.glareosa.ssp.pribilovensis,1
Carex.maritima,1
Carex.rotundata,1
Carex.scirpoidea,1
Carex.stylosa,1
Claytonia.tuberosa,1
Coptidium.lapponicum,1
Delphinium.chamissonis,1
Draba.fladnizensis,1
Draba.stenopetala,1
Draba.subcapitata,1
Equisetum.fluviatile,1
Equisetum.palustre,1
Erigeron.humilis,1
Eritrichium.villosum,1
Festuca.rubra,1
Galium.trifidum.ssp.trifidum,1
Gentianella.auriculata,1
Hierochloe.odorata,1
Iris.setosa.ssp.setosa,1
Kobresia.myosuroides,1
Kobresia.simpliciuscula,1
Micranthes.nelsoniana.ssp.insularis,1
Moehringia.lateriflora,1
Potamogeton.perfoliatus,1
Potamogeton.subsibiricus,1
Potentilla.elegans,1
Ranunculus.arcticus,1
Ranunculus.gmelinii,1
Ranunculus.reptans,1
Ranunculus.trichophyllus,1
Rubus.stellatus,1
Saussurea.angustifolia.ssp.yukonensis,1
Saxifraga.cespitosa,1
Silene.uralensis.ssp.arctica,1
Stuckenia.vaginata,1
Tephroseris.tundricola,1
Trientalis.europaea,1
Triglochin.palustris,1
Veratrum.oxysepalum,1
